State,Year,Quarter,Category,Count,Amount
Jammu & Kashmir,2024,Q1,Merchant payments,44039688,26132817115.0
Jammu & Kashmir,2024,Q1,Peer-to-peer payments,21676857,63494530507.0
Jammu & Kashmir,2024,Q1,Recharge & bill payments,9191925,4183099352.0
Jammu & Kashmir,2024,Q1,Financial Services,36970,77808277.0
Jammu & Kashmir,2024,Q1,Others,170915,72673690.0
Jammu & Kashmir,2024,Q2,Merchant payments,67028884,36427331951.0
Jammu & Kashmir,2024,Q2,Peer-to-peer payments,30553524,87708294314.0
Jammu & Kashmir,2024,Q2,Recharge & bill payments,10377382,4725535622.0
Jammu & Kashmir,2024,Q2,Financial Services,51851,118499860.0
Jammu & Kashmir,2024,Q2,Others,167373,82095164.0
Jammu & Kashmir,2024,Q3,Merchant payments,72762518,40065179721.0
Jammu & Kashmir,2024,Q3,Peer-to-peer payments,35411991,98957280136.0
Jammu & Kashmir,2024,Q3,Recharge & bill payments,11191575,5221833445.0
Jammu & Kashmir,2024,Q3,Financial Services,62311,146900251.0
Jammu & Kashmir,2024,Q3,Others,126893,79152424.0
Jammu & Kashmir,2024,Q4,Merchant payments,77746893,45801663532.0
Jammu & Kashmir,2024,Q4,Peer-to-peer payments,37314662,109794685213.0
Jammu & Kashmir,2024,Q4,Recharge & bill payments,10916802,5152602988.0
Jammu & Kashmir,2024,Q4,Financial Services,180612,129044033.0
Jammu & Kashmir,2024,Q4,Others,102248,72984966.0
